structure,threads,repeat,total_keys,elapsed_ms,throughput_ops_per_sec,final_size,structure_valid
RBT_SingleThreaded,16,3,100000,29.892,3.34538e+06,100000,1
SkipList_FineGrained,16,3,100000,18.646,5.36308e+06,100000,1
RBT_SingleThreaded,16,4,100000,27.739,3.60503e+06,100000,1
SkipList_FineGrained,16,4,100000,14.541,6.87711e+06,100000,1
RBT_SingleThreaded,1,0,1000000,930.772,1.07438e+06,1000000,1
SkipList_FineGrained,1,0,1000000,1300.39,769001,1000000,1
RBT_SingleThreaded,1,1,1000000,854.755,1.16993e+06,1000000,1
SkipList_FineGrained,1,1,1000000,1326.84,753669,1000000,1
RBT_SingleThreaded,1,2,1000000,827.739,1.20811e+06,1000000,1
SkipList_FineGrained,1,2,1000000,1229.1,813606,1000000,1
RBT_SingleThreaded,1,3,1000000,831.768,1.20226e+06,1000000,1
SkipList_FineGrained,1,3,1000000,1268.94,788057,1000000,1
RBT_SingleThreaded,1,4,1000000,858.742,1.16449e+06,1000000,1
SkipList_FineGrained,1,4,1000000,1244.17,803751,1000000,1
RBT_SingleThreaded,2,0,1000000,791.143,1.26399e+06,1000000,1
SkipList_FineGrained,2,0,1000000,587.791,1.70128e+06,1000000,1
RBT_SingleThreaded,2,1,1000000,867.114,1.15325e+06,1000000,1
SkipList_FineGrained,2,1,1000000,599.222,1.66883e+06,1000000,1
RBT_SingleThreaded,2,2,1000000,799.716,1.25044e+06,1000000,1
SkipList_FineGrained,2,2,1000000,594.707,1.6815e+06,1000000,1
RBT_SingleThreaded,2,3,1000000,980.648,1.01973e+06,1000000,1
SkipList_FineGrained,2,3,1000000,596.787,1.67564e+06,1000000,1
RBT_SingleThreaded,2,4,1000000,798.971,1.25161e+06,1000000,1
SkipList_FineGrained,2,4,1000000,590.979,1.69211e+06,1000000,1
RBT_SingleThreaded,4,0,1000000,802.741,1.24573e+06,1000000,1
SkipList_FineGrained,4,0,1000000,307.629,3.25067e+06,1000000,1
RBT_SingleThreaded,4,1,1000000,848.326,1.17879e+06,1000000,1
SkipList_FineGrained,4,1,1000000,300.452,3.32832e+06,1000000,1
RBT_SingleThreaded,4,2,1000000,809.287,1.23566e+06,1000000,1
SkipList_FineGrained,4,2,1000000,293.206,3.41057e+06,1000000,1
RBT_SingleThreaded,4,3,1000000,781.19,1.2801e+06,1000000,1
SkipList_FineGrained,4,3,1000000,305.525,3.27305e+06,1000000,1
RBT_SingleThreaded,4,4,1000000,778.28,1.28488e+06,1000000,1
SkipList_FineGrained,4,4,1000000,295.112,3.38854e+06,1000000,1
RBT_SingleThreaded,8,0,1000000,925.194,1.08085e+06,1000000,1
SkipList_FineGrained,8,0,1000000,213.775,4.67782e+06,1000000,1
RBT_SingleThreaded,8,1,1000000,786.849,1.27089e+06,1000000,1
SkipList_FineGrained,8,1,1000000,216.04,4.62877e+06,1000000,1
RBT_SingleThreaded,8,2,1000000,868.796,1.15102e+06,1000000,1
SkipList_FineGrained,8,2,1000000,219.851,4.54854e+06,1000000,1
RBT_SingleThreaded,8,3,1000000,770.464,1.29792e+06,1000000,1
SkipList_FineGrained,8,3,1000000,203.235,4.92041e+06,1000000,1
RBT_SingleThreaded,8,4,1000000,812.186,1.23125e+06,1000000,1
SkipList_FineGrained,8,4,1000000,229.827,4.3511e+06,1000000,1
RBT_SingleThreaded,16,0,1000000,813.518,1.22923e+06,1000000,1
SkipList_FineGrained,16,0,1000000,146.991,6.80314e+06,1000000,1
RBT_SingleThreaded,16,1,1000000,820.75,1.2184e+06,1000000,1
SkipList_FineGrained,16,1,1000000,152.021,6.57804e+06,1000000,1
RBT_SingleThreaded,16,2,1000000,824.354,1.21307e+06,1000000,1
SkipList_FineGrained,16,2,1000000,176.73,5.65835e+06,1000000,1
RBT_SingleThreaded,16,3,1000000,905.777,1.10402e+06,1000000,1
SkipList_FineGrained,16,3,1000000,152.911,6.53975e+06,1000000,1
RBT_SingleThreaded,16,4,1000000,762.563,1.31137e+06,1000000,1
SkipList_FineGrained,16,4,1000000,169.331,5.90559e+06,1000000,1
